RESULTS_OUTCOME_ANAL_GRP_ID|RESULTS_OUTCOME_ANALYSIS_ID|ARM_GROUP_ID
1062|387|550870
1063|395|555233
1064|608|555233
1065|609|555233
1066|610|555233
1067|611|555233
1068|612|555233
1069|613|555233
1070|614|555233
1071|614|557644
1072|613|555307
1073|612|556379
1277|834|567923
1278|835|567923
1279|836|567923
1280|837|567923
1281|838|567923
1282|839|569853
1283|840|569853
1284|841|569853
1285|842|569853
1286|843|569853
1287|839|567180
1288|840|567180
1289|841|567180
1290|842|567180
1291|843|567180
1292|844|565062
1293|845|565062
1294|846|565062
1295|847|565062
1296|595|545281
1297|596|545281
1298|414|545281
1299|415|545281
1300|416|545281
1301|417|545281
1302|418|545281
1303|419|545281
1304|420|545281
1305|421|545281
1306|436|545281
1307|437|545281
1308|438|545281
1309|439|545281
1358|1048|537237
1359|1047|534292
1360|1048|534292
1361|1049|573361
1362|1049|547162
1363|1050|550329
1393|724|571253
1394|725|571253
1395|722|607149
1396|723|607149
1397|724|607149
1398|725|607149
1399|726|609585
1400|727|609585
1401|728|609585
1402|729|609585
1403|726|606133
1404|727|606133
1405|728|606133
1406|729|606133
1407|631|605576
1408|632|605576
1409|633|605576
1410|634|605576
1411|635|605576
1412|636|605576
1413|637|605576
1414|638|605576
1415|638|607753
1416|637|609356
1417|636|580453
1418|635|581801
1419|634|583195
1420|633|580520
1421|632|582142
1422|631|582975
1423|639|578218
1424|640|578218
1425|641|578218
1426|642|578218
1427|643|578218
1428|644|578218
1429|645|578218
1430|646|578218
1431|646|578752
1432|645|576036
1433|644|576855
1434|643|580878
1435|642|591485
1436|641|585267
1437|640|586332
1438|639|587155
1439|647|596574
1440|647|596791
1441|647|594746
1442|647|596090
1443|647|592937
1444|648|613818
1445|648|615226
1446|648|616321
1447|648|594871
1448|648|592776
1449|649|602125
1450|649|604636
1364|1050|555662
1365|1051|557532
1366|1051|554936
1367|1052|552537
1368|1052|547280
1369|1053|548908
1370|1053|546273
1371|1054|561071
1310|603|545281
1311|604|545281
1312|590|551416
1313|591|551416
1314|592|551416
1315|593|551416
1316|594|551416
1317|595|551416
1318|596|551416
1319|414|551416
1320|415|551416
1321|884|501095
1322|885|501095
1323|886|502460
1324|886|499554
1325|887|472867
1326|888|472867
1327|887|474775
1328|888|475605
1329|889|473219
1330|890|473219
1331|889|474559
1332|890|478259
1333|891|503354
1334|892|503354
1335|891|504709
1336|892|506359
1337|893|504238
1338|894|504238
1339|893|506439
1340|894|481051
1341|1039|476994
1342|1040|476994
1343|1039|513014
1344|1040|514356
1345|1041|522526
1346|1041|520169
1347|1042|519177
1348|1042|516811
1349|1043|521866
1350|1043|523727
1351|1044|521938
1352|1044|496077
1353|1045|492266
1354|1046|492266
1355|1045|497766
1356|1046|497766
1357|1047|537237
1238|818|574446
1239|817|549757
1240|818|551383
1241|816|557270
1242|819|555490
1243|819|553950
1244|820|555569
1245|820|556932
1246|821|554293
1247|822|554293
1045|848|565672
1046|707|565672
1047|708|565672
1048|709|565672
1049|710|563571
1050|711|563571
1051|712|563571
1052|713|563571
1053|710|565184
1054|711|565184
1055|712|565184
1056|393|555988
1057|392|546189
1058|391|547808
1473|658|416688
1474|659|416688
1475|657|414088
1476|659|414088
1477|660|389629
1478|661|389629
1479|661|419448
1480|662|419448
1481|660|417378
1482|662|417378
1483|663|419535
1484|664|419535
1485|664|389545
1486|665|389545
1487|663|424926
1488|665|424926
1489|666|423629
1490|667|423629
1491|667|425001
1492|668|425001
1493|666|422619
1494|668|422619
1495|669|454723
1496|670|454723
1497|670|431061
1498|671|431061
1499|669|428955
1500|671|428955
1501|672|426092
1502|673|426092
1503|673|431928
1504|674|431928
1505|672|429844
1506|674|429844
1507|675|428577
1508|676|428577
1509|676|425974
1510|677|425974
1511|675|427027
1512|677|427027
1513|678|428913
1514|679|428913
1515|679|422919
1516|680|422919
1517|678|425348
1518|680|425348
1519|681|436881
1520|681|438247
1521|682|469669
1522|682|470737
1523|683|472373
1524|683|469734
1525|684|467058
1526|684|442816
1527|685|449534
1528|685|450659
1529|686|443420
1530|686|438431
1531|687|440069
1532|687|441145
1533|688|481766
1534|688|482282
1535|689|460416
1536|689|456229
1537|690|487397
1538|690|488992
1539|691|466752
1540|691|461978
1541|692|462781
1542|692|467616
1543|693|465240
1544|693|501011
1545|694|498657
1546|694|500286
1547|695|501894
1548|695|498989
1549|696|475829
1550|696|473692
1551|697|474760
1552|697|476670
1553|698|473738
1554|698|475387
1555|699|529661
1556|699|536907
1557|700|538873
1558|700|539661
1559|701|540783
1560|701|537510
1561|702|513717
1562|702|508761
1563|703|509653
1564|703|541539
1565|704|544271
1566|704|541048
1625|850|380720
1626|850|386000
1372|1054|567108
1373|1055|568481
1374|713|565184
1375|714|571089
1376|715|571089
1377|716|571089
1378|717|571089
1379|714|574384
1380|715|574384
1381|716|574384
1382|717|574384
1383|718|571994
1384|719|571994
1385|720|571994
1386|721|571994
1387|718|569641
1388|719|569641
1389|720|569641
1390|721|569641
1391|722|571253
1392|723|571253
1248|823|554293
1249|824|554293
1250|825|554293
1251|826|554293
1252|821|589493
1253|822|589493
1254|823|589493
1255|824|589493
1256|825|589493
1257|826|589493
1258|827|558833
1259|828|558833
1260|829|558833
1261|830|558833
1262|827|560461
1263|828|560461
1264|829|560461
1265|830|560461
1266|831|558608
1267|832|558608
1268|833|558608
1269|831|560516
1270|832|560516
1271|833|560516
1272|834|570843
1273|835|570843
1274|836|570843
1275|837|570843
1276|838|570843
1451|649|601949
1452|649|598998
1453|649|600626
1454|650|380131
1455|650|381532
1456|650|378264
1457|650|359584
1458|650|357206
1459|651|419069
1460|652|419069
1461|652|420992
1462|653|420992
1463|651|414401
1464|653|414401
1465|654|416263
1466|655|416263
1467|655|411027
1468|656|411027
1469|654|408960
1470|656|408960
1471|657|410559
1472|658|410559
1651|864|411108
1652|865|413000
1653|866|413000
1654|865|410352
1655|866|410352
1656|867|390729
1657|868|420011
1658|867|418191
1659|868|418191
1660|869|388725
1661|870|390368
1662|869|422570
1663|870|422570
1664|871|424742
1665|872|421552
1666|730|608303
1667|731|608303
1668|732|608303
1669|733|608303
1670|734|608303
1671|730|605653
1672|731|605653
1673|732|605653
1674|733|605653
1675|734|605653
1676|735|449825
1677|735|446918
1678|735|443692
1679|736|483744
1680|737|514068
1681|737|512292
1682|738|514436
1567|705|549749
1568|705|551122
1569|706|556736
1570|706|554378
1571|582|548342
1572|582|545726
1573|583|547330
1574|584|547330
1575|583|549243
1576|584|549243
1577|585|589222
1578|586|589222
1579|585|558282
1580|586|558282
1581|587|560453
1582|587|558344
1718|756|508287
1719|756|510219
1720|757|602691
1721|757|605173
1722|758|429124
1723|758|426512
1724|759|427316
1725|759|429467
1726|760|423727
1727|760|421646
1728|761|435514
1729|762|483748
1730|762|455557
1731|762|457179
1732|763|458823
1733|763|463599
1734|763|460983
1735|764|457050
1736|765|457050
1737|766|457050
1738|767|457050
1739|764|458434
1740|766|458434
1741|765|456040
1742|767|456040
